name	grade	country	industry	employees	roe	Year	roe_num	global_industry	continent	Ticker	maxAge	totalEsg	environmentScore	socialScore	governanceScore	ratingYear	ratingMonth	highestControversy	relatedControversy	adult	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	animalTesting_True	gambling_True	gmo_True	nuclear_True
Aroundtown SA	10.1	Luxembourg	Real Estate	1,706	-7.85%	2024	-7.85	Real estate and related services	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Asahi Diamond Industrial Co., Ltd.	34.9	Japan	Machinery	2,059	3.35%	2024	3.35	Industrial and manufacturing sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Ascopiave SpA	29.0	Italy	Utilities	500	5.75%	2024	5.75	Utilities	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
Ashmore Group Plc	18.3	United Kingdom	Diversified Financials	305	10.89%	2024	10.89	Financial sectors	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Asia-Potash International Investment (Guangzhou) Co., Ltd.	56.0	China	Diversified Metals	6,557	5.64%	2024	5.64	Energy and natural resources	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
ASKA Pharmaceutical Holdings Co., Ltd.	29.8	Japan	Pharmaceuticals	762	9.73%	2024	9.73	Healthcare and well-being	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
ASML Holding NV	8.5	Netherlands	Semiconductors	42,372	49.22%	2024	49.22	Technology sectors	Europe	ASMLF	86400.0	8.4	3.26	2.41	2.74	2025.0	1.0	2.0	['Society & Community Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
ASOS Plc	21.5	United Kingdom	Retailing	3,027	-48.80%	2024	-48.8	Consumer sectors (B2C)	Europe	UNLYF	86400.0	21.55	7.94	9.09	4.53	2025.0	1.0	2.0	['Customer Incidents;Employee Incidents;Social Supply Chain Incidents;Governance Incidents;Business Ethics Incidents;Product & Service Incidents;Operations Incidents;Environmental Supply Chain Incidents']	False	0	0	0	0	0	0	0	0
ASR Microelectronics Co., Ltd.	33.9	China	Telecommunication Services	1,263	-7.96%	2024	-7.96	Technology sectors	Asia	AXP	86400.0	18.28	0.13	9.7	8.45	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Asseco Poland SA	25.0	Poland	Software & Services	33,761	14.03%	2024	14.03	Technology sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Assicurazioni Generali SpA	15.7	Italy	Insurance	82,000	12.83%	2024	12.83	Financial sectors	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
AstraZeneca PLC	21.5	United Kingdom	Pharmaceuticals	89,900	16.66%	2024	16.66	Healthcare and well-being	Europe	AZNCF	86400.0	21.49	2.65	14.08	4.76	2025.0	1.0	2.0	['Society & Community Incidents;Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	1	0	0	0
Asymchem Laboratories (Tianjin) Co., Ltd.	19.1	China	Pharmaceuticals	9,300	4.40%	2024	4.4	Healthcare and well-being	Asia	ABT	86400.0	22.21	1.81	13.84	6.56	2025.0	1.0	3.0	['Customer Incidents']	False	0	0	0	0	1	0	0	0
Atlantica Sustainable Infrastructure Plc	13.3	United Kingdom	Utilities	1,366	1.70%	2024	1.7	Utilities	Europe	PNR	86400.0	22.0	6.12	10.73	5.15	2025.0	1.0	1.0	['Employee Incidents']	False	0	0	0	0	0	0	0	0
Atlassian Corp.	17.7	United States of America	Software & Services	12,157	-43.52%	2024	-43.52	Technology sectors	North America	TEAM	86400.0	17.68	1.48	8.92	7.29	2025.0	1.0	2.0	['Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Atrae, Inc.	23.0	Japan	Software & Services	109	13.50%	2024	13.5	Technology sectors	Asia	NTRA	86400.0	29.69	1.43	21.3	6.96	2025.0	1.0	2.0	['Customer Incidents']	False	0	0	0	0	1	0	0	0
Atrato Onsite Energy Plc	33.2	United Kingdom	Diversified Financials	Non disponible	1.50%	2024	1.5	Financial sectors	Europe	XEL	86400.0	26.57	13.17	9.48	3.92	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	1
Auto1 Group SE	11.8	Germany	Retailing	5,393	-2.66%	2024	-2.66	Consumer sectors (B2C)	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Automatic Data Processing, Inc.	15.1	United States of America	Software & Services	64,000	87.26%	2024	87.26	Technology sectors	North America	ADP	86400.0	15.12	4.01	7.37	3.74	2025.0	1.0	1.0	['Governance Incidents;Employee Incidents;Customer Incidents']	False	1	0	1	0	0	0	0	0
AutoNation, Inc.	12.8	United States of America	Retailing	25,300	32.01%	2024	32.01	Consumer sectors (B2C)	North America	AN	86400.0	12.8	0.3	8.72	3.78	2025.0	1.0	2.0	['Customer Incidents']	False	1	0	1	0	0	0	0	0
Avery Dennison Corp.	11.0	United States of America	Containers & Packaging	35,000	30.24%	2024	30.24	Industrial and manufacturing sectors	North America	AVY	86400.0	10.98	7.03	1.28	2.67	2025.0	1.0	1.0	['Business Ethics Incidents;Customer Incidents;Employee Incidents']	False	1	0	1	0	1	0	0	0
AVIC Industry-Finance Holdings Co., Ltd.	19.1	China	Diversified Financials	3,233	2.09%	2024	2.09	Financial sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Axon Enterprise, Inc.	30.5	United States of America	Aerospace & Defense	3,330	16.42%	2024	16.42	Transport and logistics	North America	AXON	86400.0	30.49	2.38	20.09	8.03	2025.0	1.0	1.0	['Customer Incidents']	False	0	1	0	1	0	0	0	0
Azelis Group NV	11.7	Belgium	Traders & Distributors	4,200	6.71%	2024	6.71	Transport and logistics	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
B&S Group SA	9.5	Luxembourg	Healthcare	1,935	19.86%	2024	19.86	Healthcare and well-being	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
B3 Consulting Group AB	22.1	Sweden	Software & Services	1,009	40.68%	2024	40.68	Technology sectors	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Bakkavor Group Plc	28.1	United Kingdom	Food Products	Non disponible	10.44%	2024	10.44	Consumer sectors (B2C)	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Balco Group AB	17.2	Sweden	Building Products	631	1.71%	2024	1.71	Industrial and manufacturing sectors	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Banca IFIS SpA	20.7	Italy	Diversified Financials	2,001	9.39%	2024	9.39	Financial sectors	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
Banca Mediolanum SpA	24.0	Italy	Banks	3,738	25.25%	2024	25.25	Financial sectors	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
Banca Transilvania SA	14.9	Romania	Banks	12,037	31.16%	2024	31.16	Financial sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Banque Cantonale de Genève	29.9	Switzerland	Banks	971	10.70%	2024	10.7	Financial sectors	Europe	CLX	86400.0	20.03	7.94	8.5	3.59	2025.0	1.0	2.0	['Customer Incidents']	False	0	0	0	0	0	0	0	0
Baoshan Iron & Steel Co., Ltd.	34.0	China	Steel	43,126	5.02%	2024	5.02	Industrial and manufacturing sectors	Asia	AXP	86400.0	18.28	0.13	9.7	8.45	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Baotailong New Materials Co., Ltd.	50.5	China	Oil & Gas Producers	2,362	-26.37%	2024	-26.37	Energy and natural resources	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Barry Callebaut AG	23.4	Switzerland	Food Products	13,423	6.65%	2024	6.65	Consumer sectors (B2C)	Europe	BYCBF	86400.0	23.44	11.38	7.93	4.13	2025.0	1.0	2.0	['Social Supply Chain Incidents']	False	0	0	0	0	0	0	0	0
Base Co., Ltd.	22.2	Japan	Software & Services	1,134	31.18%	2024	31.18	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
BasicNet SpA	21.8	Italy	Retailing	1,078	12.89%	2024	12.89	Consumer sectors (B2C)	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
BE Group AB	18.8	Sweden	Traders & Distributors	634	-1.30%	2024	-1.3	Transport and logistics	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Befesa SA	13.1	Luxembourg	Commercial Services	1,834	6.87%	2024	6.87	Commercial services and media	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Balance Medical Technology Co., Ltd.	34.5	China	Healthcare	473	7.85%	2024	7.85	Healthcare and well-being	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Capital Eco-Environment Protection Group Co., Ltd.	45.9	China	Machinery	16,910	10.17%	2024	10.17	Industrial and manufacturing sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Chunlizhengda Medical Instruments Co., Ltd.	31.0	China	Healthcare	1,291	5.68%	2024	5.68	Healthcare and well-being	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing CTJ Information Technology Co., Ltd.	29.0	China	Software & Services	1,556	7.20%	2024	7.2	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Cuiwei Tower Co., Ltd.	27.7	China	Commercial Services	2,090	-22.66%	2024	-22.66	Commercial services and media	Asia	AXP	86400.0	18.28	0.13	9.7	8.45	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Beijing Dabeinong Technology Group Co., Ltd.	50.6	China	Food Products	18,465	-10.04%	2024	-10.04	Consumer sectors (B2C)	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Electronic Zone High-tech Group Co., Ltd.	25.3	China	Real Estate	973	-9.02%	2024	-9.02	Real estate and related services	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Fourth Paradigm Technology Co., Ltd.	28.6	China	Software & Services	958	-38.25%	2024	-38.25	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Gehua CATV Network Co., Ltd.	25.0	China	Media	3,275	-0.78%	2024	-0.78	Commercial services and media	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Global Safety Technology Co., Ltd.	26.4	China	Software & Services	1,860	-4.43%	2024	-4.43	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Jingneng Power Co., Ltd.	52.3	China	Utilities	5,340	6.06%	2024	6.06	Utilities	Asia	AXP	86400.0	18.28	0.13	9.7	8.45	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Beijing Philisense Technology Co., Ltd.	29.4	China	Software & Services	899	-18.89%	2024	-18.89	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing SanYuan Foods Co., Ltd.	40.5	China	Food Products	6,214	2.46%	2024	2.46	Consumer sectors (B2C)	Asia	AXP	86400.0	18.28	0.13	9.7	8.45	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Beijing SDL Technology Co., Ltd.	20.7	China	Pharmaceuticals	1,795	6.21%	2024	6.21	Healthcare and well-being	Asia	AXP	86400.0	18.28	0.13	9.7	8.45	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Beijing Shiji Information Technology Co., Ltd.	27.0	China	Software & Services	5,048	-0.63%	2024	-0.63	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Shunxin Agriculture Co., Ltd.	37.4	China	Food Products	4,021	5.52%	2024	5.52	Consumer sectors (B2C)	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing SL Pharmaceutical Co., Ltd.	32.6	China	Pharmaceuticals	856	1.43%	2024	1.43	Healthcare and well-being	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Teamsun Technology Co., Ltd.	25.8	China	Software & Services	2,469	-8.28%	2024	-8.28	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Ultrapower Software Co., Ltd.	26.8	China	Software & Services	4,083	22.99%	2024	22.99	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Urban Construction Investment & Development Co., Ltd.	26.5	China	Real Estate	909	-0.45%	2024	-0.45	Real estate and related services	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Wandong Medical Technology Co., Ltd.	31.6	China	Healthcare	1,059	3.86%	2024	3.86	Healthcare and well-being	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing WKW Automotive Parts Co., Ltd.	24.1	China	Auto Components	5,550	11.62%	2024	11.62	Industrial and manufacturing sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Yuanliu Hongyuan Electronic Technology Co., Ltd.	27.3	China	Technology Hardware	1,515	3.64%	2024	3.64	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Beijing Zhong Ke San Huan High-Tech Co., Ltd.	24.3	China	Technology Hardware	5,640	0.17%	2024	0.17	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Bekaert SA	24.0	Belgium	Machinery	23,959	10.79%	2024	10.79	Industrial and manufacturing sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Believe SA	14.2	France	Media	1,919	-2.56%	2024	-2.56	Commercial services and media	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Bell Food Group AG	35.5	Switzerland	Food Products	13,318	8.57%	2024	8.57	Consumer sectors (B2C)	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Best Buy Co., Inc.	13.7	United States of America	Retailing	85,000	43.09%	2024	43.09	Consumer sectors (B2C)	North America	BBY	86400.0	13.67	2.53	7.95	3.2	2025.0	1.0	2.0	['Customer Incidents']	False	1	0	1	0	0	0	0	0
Bestechnic (Shanghai) Co., Ltd.	34.7	China	Semiconductors	690	4.72%	2024	4.72	Technology sectors	Asia	AXP	86400.0	18.28	0.13	9.7	8.45	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Bestore Co., Ltd.	25.4	China	Food Retailers	11,046	0.21%	2024	0.21	Consumer sectors (B2C)	Asia	AEP	86400.0	22.09	10.43	7.76	3.9	2025.0	1.0	2.0	['Customer Incidents;Public Policy Incidents']	False	0	0	0	0	0	0	0	1
BFF Bank SpA	15.0	Italy	Banks	849	32.06%	2024	32.06	Financial sectors	Europe	BNS	86400.0	20.98	0.93	13.04	7.02	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
BHG Group AB	24.3	Sweden	Retailing	1,994	-5.61%	2024	-5.61	Consumer sectors (B2C)	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
BICO Group AB	18.6	Sweden	Pharmaceuticals	809	-39.27%	2024	-39.27	Healthcare and well-being	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Bicycle Therapeutics Plc	15.8	United Kingdom	Pharmaceuticals	284	-26.67%	2024	-26.67	Healthcare and well-being	Europe	BCYC	86400.0	15.83	3.57	7.42	4.83	2025.0	1.0	0.0		False	1	0	1	0	1	0	0	0
Binjiang Service Group Co. Ltd.	23.2	China	Real Estate	12,678	39.44%	2024	39.44	Real estate and related services	Asia	AXP	86400.0	18.28	0.13	9.7	8.45	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
bioMérieux SA	20.6	France	Healthcare	13,839	10.61%	2024	10.61	Healthcare and well-being	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Block, Inc.	20.7	United States of America	Software & Services	12,985	5.43%	2024	5.43	Technology sectors	North America	XYZ	86400.0	20.72	1.05	10.99	8.68	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	0	0	0	0	0	0	0	0
Bloomsbury Publishing Plc	12.7	United Kingdom	Media	Non disponible	19.53%	2024	19.53	Commercial services and media	Europe	PNR	86400.0	22.0	6.12	10.73	5.15	2025.0	1.0	1.0	['Employee Incidents']	False	0	0	0	0	0	0	0	0
Boiron SA	33.1	France	Pharmaceuticals	2,788	4.85%	2024	4.85	Healthcare and well-being	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
boohoo group Plc	35.1	United Kingdom	Retailing	5,079	-92.50%	2024	-92.5	Consumer sectors (B2C)	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Booz Allen Hamilton Holding Corp.	13.1	United States of America	Software & Services	35,800	72.94%	2024	72.94	Technology sectors	North America	BAH	86400.0	13.06	1.37	6.77	4.92	2025.0	1.0	2.0	['Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
discoverIE Group Plc	8.9	United Kingdom	Technology Hardware	4,500	5.31%	2024	5.31	Technology sectors	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
DKK Co., Ltd.	31.1	Japan	Technology Hardware	1,086	-4.30%	2024	-4.3	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
DNB Bank ASA	14.0	Norway	Banks	10,800	15.72%	2024	15.72	Financial sectors	Europe	BNS	86400.0	20.98	0.93	13.04	7.02	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
DNO ASA	48.4	Norway	Oil & Gas Producers	1,085	6.11%	2024	6.11	Energy and natural resources	Europe	STOHF	86400.0	36.59	21.12	11.39	4.08	2025.0	1.0	2.0	['Product & Service Incidents;Employee Incidents;Customer Incidents;Society & Community Incidents;Operations Incidents;Business Ethics Incidents']	False	0	1	0	1	0	0	0	0
Dollar General Corp.	21.2	United States of America	Retailing	170,000	19.37%	2024	19.37	Consumer sectors (B2C)	North America	DG	86400.0	21.2	3.86	13.07	4.27	2025.0	1.0	3.0	['Employee Incidents']	False	0	0	0	0	0	0	0	0
Dometic Group AB	22.3	Sweden	Consumer Durables	7,259	-4.36%	2024	-4.36	Consumer sectors (B2C)	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
