name	grade	country	industry	employees	roe	Year	roe_num	global_industry	continent	Ticker	maxAge	totalEsg	environmentScore	socialScore	governanceScore	ratingYear	ratingMonth	highestControversy	relatedControversy	adult	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	animalTesting_True	gambling_True	gmo_True	nuclear_True
Dongguan Yiheda Automation Co., Ltd.	34.7	China	Machinery	3,301	19.29%	2024	19.29	Industrial and manufacturing sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Dosilicon Co., Ltd.	40.6	China	Semiconductors	262	-8.06%	2024	-8.06	Technology sectors	Asia	AEP	86400.0	22.09	10.43	7.76	3.9	2025.0	1.0	2.0	['Customer Incidents;Public Policy Incidents']	False	0	0	0	0	0	0	0	1
DPC Dash Ltd.	29.0	China	Consumer Services	8,107	-1.15%	2024	-1.15	Consumer sectors (B2C)	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Dr. Martens Plc	15.7	United Kingdom	Textiles & Apparel	2,630	8.42%	2024	8.42	Consumer sectors (B2C)	Europe	BPAQF	86400.0	33.2	16.04	9.77	7.39	2025.0	1.0	3.0	['Operations Incidents']	False	0	1	0	1	0	0	0	0
Dun & Bradstreet Holdings, Inc.	18.2	United States of America	Software & Services	6,414	-0.91%	2024	-0.91	Technology sectors	North America	DNB	86400.0	18.17	4.87	7.82	5.48	2025.0	1.0	2.0	['Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Duskin Co., Ltd.	20.9	Japan	Commercial Services	3,792	3.60%	2024	3.6	Commercial services and media	Asia	AEP	86400.0	22.09	10.43	7.76	3.9	2025.0	1.0	2.0	['Customer Incidents;Public Policy Incidents']	False	0	0	0	0	0	0	0	1
DXC Technology Co.	15.3	United States of America	Software & Services	130,000	0.45%	2024	0.45	Technology sectors	North America	DXC	86400.0	15.3	3.48	7.87	3.94	2025.0	1.0	2.0	['Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Dynatrace, Inc.	15.0	United States of America	Software & Services	4,700	8.28%	2024	8.28	Technology sectors	North America	DT	86400.0	15.02	1.56	9.04	4.42	2025.0	1.0	1.0	['Customer Incidents;Governance Incidents']	False	1	0	1	0	0	0	0	0
E.ON SE	20.0	Germany	Utilities	74,543	11.10%	2024	11.1	Utilities	Europe	SNA	86400.0	30.88	12.39	11.85	6.63	2025.0	1.0	2.0	['Customer Incidents']	False	0	1	0	1	0	0	0	0
Eastern Air Logistics Co., Ltd.	22.6	China	Transportation	6,332	18.68%	2024	18.68	Transport and logistics	Asia	AXP	86400.0	18.28	0.13	9.7	8.45	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
EastGroup Properties, Inc.	12.8	United States of America	Real Estate	96	8.93%	2024	8.93	Real estate and related services	North America	EGP	86400.0	12.8	4.13	3.58	5.09	2025.0	1.0	0.0	['Environmental Supply Chain Incidents;Product & Service Incidents;Business Ethics Incidents;Customer Incidents;Operations Incidents;Society & Community Incidents;Governance Incidents;Public Policy Incidents;Employee Incidents;Social Supply Chain Incidents']	False	1	0	1	0	0	0	0	0
Eastroc Beverage (Group) Co., Ltd.	36.7	China	Food Products	9,460	47.57%	2024	47.57	Consumer sectors (B2C)	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Eaton Corp.	24.1	United States of America	Machinery	Non disponible	20.08%	2024	20.08	Industrial and manufacturing sectors	North America	ETN	86400.0	21.05	7.76	9.26	4.03	2025.0	1.0	2.0	['Society & Community Incidents;Operations Incidents']	False	0	0	0	0	0	0	0	0
Eckert & Ziegler SE	33.5	Germany	Healthcare	1,143	15.44%	2024	15.44	Healthcare and well-being	Europe	SAPGF	86400.0	14.37	3.44	7.8	3.13	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents;Employee Incidents']	False	1	0	1	0	0	0	0	0
eDreams ODIGEO SA	13.1	Spain	Software & Services	1,682	14.47%	2024	14.47	Technology sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
EFG International AG	18.9	Switzerland	Diversified Financials	3,118	14.34%	2024	14.34	Financial sectors	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
EGing Photovoltaic Technology Co., Ltd.	39.0	China	Semiconductors	2,643	-34.01%	2024	-34.01	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Eiffage SA	36.1	France	Construction & Engineering	73,500	19.49%	2024	19.49	Industrial and manufacturing sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Eisai Co., Ltd.	26.5	Japan	Pharmaceuticals	11,067	4.94%	2024	4.94	Healthcare and well-being	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Electrolux Professional AB	12.7	Sweden	Machinery	4,370	15.21%	2024	15.21	Industrial and manufacturing sectors	Europe	OTLY	86400.0	25.31	11.67	9.97	3.67	2025.0	1.0	1.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Elevance Health, Inc.	9.3	United States of America	Healthcare	Non disponible	15.50%	2024	15.5	Healthcare and well-being	North America	ELV	86400.0	9.31	0.09	5.26	3.97	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	1	0	1	0	0	0	0	0
Elior Group SA	27.6	France	Consumer Services	133,156	-5.06%	2024	-5.06	Consumer sectors (B2C)	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Ellaktor SA	30.8	Greece	Construction & Engineering	2,283	15.17%	2024	15.17	Industrial and manufacturing sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Elmos Semiconductor SE	27.2	Germany	Semiconductors	869	21.98%	2024	21.98	Technology sectors	Europe	SAPGF	86400.0	14.37	3.44	7.8	3.13	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents;Employee Incidents']	False	1	0	1	0	0	0	0	0
Elo SA	26.5	France	Food Retailers	Non disponible	2.32%	2024	2.32	Consumer sectors (B2C)	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
EM Systems Co., Ltd.	21.1	Japan	Software & Services	811	10.85%	2024	10.85	Technology sectors	Asia	AEP	86400.0	22.09	10.43	7.76	3.9	2025.0	1.0	2.0	['Customer Incidents;Public Policy Incidents']	False	0	0	0	0	0	0	0	1
Emerson Electric Co.	22.8	United States of America	Machinery	73,000	5.93%	2024	5.93	Industrial and manufacturing sectors	North America	EMR	86400.0	22.79	6.05	12.6	4.13	2025.0	1.0	1.0	['Employee Incidents;Customer Incidents;Business Ethics Incidents']	False	0	0	0	0	0	0	0	0
Empiric Student Property PLC	16.1	United Kingdom	Real Estate	358	7.32%	2024	7.32	Real estate and related services	Europe	PNR	86400.0	22.0	6.12	10.73	5.15	2025.0	1.0	1.0	['Employee Incidents']	False	0	0	0	0	0	0	0	0
ENEA SA	43.0	Poland	Utilities	18,027	10.81%	2024	10.81	Utilities	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Energean Plc	31.5	United Kingdom	Oil & Gas Producers	98	43.04%	2024	43.04	Energy and natural resources	Europe	BPAQF	86400.0	33.2	16.04	9.77	7.39	2025.0	1.0	3.0	['Operations Incidents']	False	0	1	0	1	0	0	0	0
ENGIE SA	30.2	France	Utilities	96,000	15.18%	2024	15.18	Utilities	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Eniro Group AB	14.9	Sweden	Media	900	18.49%	2024	18.49	Commercial services and media	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Enovis Corp.	31.1	United States of America	Healthcare	6,550	-3.56%	2024	-3.56	Healthcare and well-being	North America	ENOV	86400.0	31.09	4.89	18.16	8.04	2025.0	1.0	0.0	['Employee Incidents;Product & Service Incidents;Governance Incidents;Public Policy Incidents;Social Supply Chain Incidents;Business Ethics Incidents;Customer Incidents;Operations Incidents;Society & Community Incidents;Environmental Supply Chain Incidents']	False	0	1	0	1	1	0	0	0
Entegris, Inc.	19.8	United States of America	Semiconductors	8,000	6.57%	2024	6.57	Technology sectors	North America	ENTG	86400.0	19.77	8.95	6.28	4.55	2025.0	1.0	0.0	['Public Policy Incidents;Environmental Supply Chain Incidents;Social Supply Chain Incidents;Product & Service Incidents;Governance Incidents;Society & Community Incidents;Employee Incidents;Customer Incidents;Business Ethics Incidents;Operations Incidents']	False	1	0	1	0	0	0	0	0
Envista Holdings Corp.	26.9	United States of America	Healthcare	12,800	-36.31%	2024	-36.31	Healthcare and well-being	North America	NVST	86400.0	26.91	4.21	16.85	5.85	2025.0	1.0	1.0	['Customer Incidents']	False	0	0	0	0	1	0	0	0
Equinix, Inc.	13.1	United States of America	Real Estate	13,151	8.27%	2024	8.27	Real estate and related services	North America	EQIX	86400.0	13.14	3.56	4.76	4.82	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Equinor ASA	36.6	Norway	Oil & Gas Producers	24,467	20.27%	2024	20.27	Energy and natural resources	Europe	STOHF	86400.0	36.59	21.12	11.39	4.08	2025.0	1.0	2.0	['Product & Service Incidents;Employee Incidents;Customer Incidents;Society & Community Incidents;Operations Incidents;Business Ethics Incidents']	False	0	1	0	1	0	0	0	0
Eramet SA	30.9	France	Diversified Metals	9,167	-5.84%	2024	-5.84	Energy and natural resources	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Erste Group Bank AG	16.0	Austria	Banks	45,341	13.98%	2024	13.98	Financial sectors	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
ESAB Corp.	30.6	United States of America	Machinery	9,000	16.32%	2024	16.32	Industrial and manufacturing sectors	North America	ESAB	86400.0	30.6	12.98	12.09	5.53	2025.0	1.0	1.0	['Society & Community Incidents']	False	0	1	0	1	0	0	0	0
Esker SA	16.5	France	Software & Services	1,028	15.32%	2024	15.32	Technology sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Espressif Systems (Shanghai) Co., Ltd.	33.9	China	Semiconductors	625	15.07%	2024	15.07	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Esprinet SpA	7.5	Italy	Technology Hardware	1,800	5.38%	2024	5.38	Technology sectors	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
Essential Utilities, Inc.	18.5	United States of America	Utilities	3,258	9.02%	2024	9.02	Utilities	North America	WTRG	86400.0	18.51	4.5	9.93	4.08	2025.0	1.0	1.0	['Customer Incidents']	False	1	0	1	0	0	0	0	0
euglena Co., Ltd.	30.7	Japan	Household Products	846	-8.36%	2024	-8.36	Consumer sectors (B2C)	Asia	AEP	86400.0	22.09	10.43	7.76	3.9	2025.0	1.0	2.0	['Customer Incidents;Public Policy Incidents']	False	0	0	0	0	0	0	0	1
Eurocash SA	25.7	Poland	Food Retailers	18,785	3.50%	2024	3.5	Consumer sectors (B2C)	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Eurocell Plc	23.6	United Kingdom	Building Products	2,048	11.57%	2024	11.57	Industrial and manufacturing sectors	Europe	BPAQF	86400.0	33.2	16.04	9.77	7.39	2025.0	1.0	3.0	['Operations Incidents']	False	0	1	0	1	0	0	0	0
Eurofins Scientific SE	15.2	Luxembourg	Pharmaceuticals	62,000	7.27%	2024	7.27	Healthcare and well-being	Europe	SAPGF	86400.0	14.37	3.44	7.8	3.13	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents;Employee Incidents']	False	1	0	1	0	0	0	0	0
Euronet Worldwide, Inc.	21.4	United States of America	Software & Services	10,000	26.40%	2024	26.4	Technology sectors	North America	EEFT	86400.0	21.4	3.05	12.31	6.05	2025.0	1.0	0.0	['Business Ethics Incidents;Society & Community Incidents;Public Policy Incidents;Product & Service Incidents;Employee Incidents;Customer Incidents;Governance Incidents;Operations Incidents;Environmental Supply Chain Incidents;Social Supply Chain Incidents']	False	0	0	0	0	0	0	0	0
Evergy, Inc.	29.2	United States of America	Utilities	4,658	8.73%	2024	8.73	Utilities	North America	EVRG	86400.0	29.24	13.73	10.64	4.88	2025.0	1.0	1.0	['Operations Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	1
Eversource Energy	18.1	United States of America	Utilities	10,171	-3.49%	2024	-3.49	Utilities	North America	ES	86400.0	18.08	4.1	8.17	5.82	2025.0	1.0	2.0	['Customer Incidents;Operations Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Evotec SE	17.7	Germany	Pharmaceuticals	5,022	-16.25%	2024	-16.25	Healthcare and well-being	Europe	EVOTF	86400.0	17.65	1.52	11.79	4.34	2025.0	1.0	1.0	['Customer Incidents;Governance Incidents']	False	1	0	1	0	1	0	0	0
EXACT Sciences Corp.	20.9	United States of America	Pharmaceuticals	0	-6.76%	2024	-6.76	Healthcare and well-being	North America	EXAS	86400.0	20.85	1.29	13.88	5.69	2025.0	1.0	2.0	['Business Ethics Incidents']	False	0	0	0	0	0	0	0	0
Exclusive Networks SA	17.9	France	Software & Services	2,708	4.27%	2024	4.27	Technology sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Exelon Corp.	19.0	United States of America	Utilities	19,962	9.33%	2024	9.33	Utilities	North America	EXC	86400.0	18.79	6.36	8.1	4.33	2025.0	1.0	3.0	['Public Policy Incidents']	False	1	0	1	0	0	0	0	0
Expedia Group, Inc.	22.1	United States of America	Software & Services	17,100	38.57%	2024	38.57	Technology sectors	North America	EXPE	86400.0	22.12	2.73	11.59	7.8	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Expeditors International of Washington, Inc.	18.4	United States of America	Transportation	18,100	30.29%	2024	30.29	Transport and logistics	North America	EXPD	86400.0	18.4	5.07	9.04	4.29	2025.0	1.0	2.0	['Customer Incidents']	False	1	0	1	0	0	0	0	0
Exxon Mobil Corp.	43.7	United States of America	Oil & Gas Producers	61,500	14.51%	2024	14.51	Energy and natural resources	North America	XOM	86400.0	43.66	25.09	11.58	6.99	2025.0	1.0	3.0	['Operations Incidents']	False	0	1	0	1	0	0	0	0
Eyebright Medical Technology (Beijing) Co., Ltd.	33.0	China	Healthcare	2,074	14.76%	2024	14.76	Healthcare and well-being	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
F-Secure Oyj	18.2	Finland	Software & Services	530	58.61%	2024	58.61	Technology sectors	Europe	VFC	86400.0	14.36	0.93	8.86	4.58	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents;Social Supply Chain Incidents']	False	1	0	1	0	0	0	0	0
Fastighets AB Trianon	16.0	Sweden	Real Estate	81	-5.48%	2024	-5.48	Real estate and related services	Europe	OTLY	86400.0	25.31	11.67	9.97	3.67	2025.0	1.0	1.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Feed One Co., Ltd.	46.0	Japan	Food Products	902	12.36%	2024	12.36	Consumer sectors (B2C)	Asia	AEP	86400.0	22.09	10.43	7.76	3.9	2025.0	1.0	2.0	['Customer Incidents;Public Policy Incidents']	False	0	0	0	0	0	0	0	1
Fenix Outdoor International AG	9.1	Switzerland	Consumer Durables	2,972	2.65%	2024	2.65	Consumer sectors (B2C)	Europe	EIX	86400.0	23.97	8.38	12.11	3.48	2025.0	1.0	3.0	['Customer Incidents']	False	0	0	0	0	0	0	0	1
Ferretti SpA	31.1	Italy	Machinery	2,090	10.51%	2024	10.51	Industrial and manufacturing sectors	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
Ferrovial SE	20.2	Netherlands	Construction & Engineering	25,195	16.70%	2024	16.7	Industrial and manufacturing sectors	Europe	FER	86400.0	20.2	8.65	8.08	3.47	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	0	0	0	0	0	0	0	0
Fevertree Drinks Plc	23.7	United Kingdom	Food Products	375	9.47%	2024	9.47	Consumer sectors (B2C)	Europe	PNR	86400.0	22.0	6.12	10.73	5.15	2025.0	1.0	1.0	['Employee Incidents']	False	0	0	0	0	0	0	0	0
Fidelity National Information Services, Inc.	18.2	United States of America	Software & Services	60,000	3.03%	2024	3.03	Technology sectors	North America	FIS	86400.0	18.24	5.45	9.99	2.81	2025.0	1.0	1.0	['Governance Incidents;Employee Incidents']	False	1	0	1	0	0	0	0	0
Fiera Milano SpA	12.3	Italy	Commercial Services	728	26.44%	2024	26.44	Commercial services and media	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
FILA - Fabbrica Italiana Lapis ed Affini SpA	10.1	Italy	Commercial Services	3,400	33.92%	2024	33.92	Commercial services and media	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
Financial Street Holdings Co., Ltd.	30.5	China	Real Estate	2,284	-8.92%	2024	-8.92	Real estate and related services	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Fincantieri SpA	13.4	Italy	Machinery	22,064	-11.55%	2024	-11.55	Industrial and manufacturing sectors	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
First American Financial Corp.	25.7	United States of America	Insurance	19,210	1.95%	2024	1.95	Financial sectors	North America	FAF	86400.0	25.74	2.32	10.47	12.95	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents']	False	0	0	0	0	0	0	0	0
First Hawaiian, Inc.	22.5	United States of America	Banks	2,000	9.01%	2024	9.01	Financial sectors	North America	FHB	86400.0	22.54	1.7	10.34	10.5	2025.0	1.0	0.0	['Society & Community Incidents;Customer Incidents;Employee Incidents;Governance Incidents;Social Supply Chain Incidents;Public Policy Incidents;Business Ethics Incidents;Environmental Supply Chain Incidents;Product & Service Incidents;Operations Incidents']	False	0	0	0	0	0	0	0	0
First Industrial Realty Trust, Inc.	15.0	United States of America	Real Estate	156	11.93%	2024	11.93	Real estate and related services	North America	FR	86400.0	15.04	4.33	4.76	5.94	2025.0	1.0	0.0	['Product & Service Incidents;Public Policy Incidents;Operations Incidents;Customer Incidents;Social Supply Chain Incidents;Environmental Supply Chain Incidents;Governance Incidents;Society & Community Incidents;Employee Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
FirstEnergy Corp.	27.5	United States of America	Utilities	12,042	8.30%	2024	8.3	Utilities	North America	FE	86400.0	27.51	12.64	10.75	4.12	2025.0	1.0	3.0	['Business Ethics Incidents']	False	0	0	0	0	0	0	0	0
Five9, Inc.	27.4	United States of America	Software & Services	2,684	-6.93%	2024	-6.93	Technology sectors	North America	FIVN	86400.0	27.41	6.21	12.82	8.38	2025.0	1.0	1.0	['Business Ethics Incidents']	False	0	0	0	0	0	0	0	0
Flect Co., Ltd.	23.5	Japan	Software & Services	324	26.92%	2024	26.92	Technology sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Flex Ltd.	7.6	United States of America	Technology Hardware	148,115	15.44%	2024	15.44	Technology sectors	North America	FLEX	86400.0	7.59	1.91	3.22	2.46	2025.0	1.0	1.0	['Employee Incidents;Society & Community Incidents']	False	1	0	1	0	0	0	0	0
Floor & Decor Holdings, Inc.	15.1	United States of America	Retailing	9,857	9.78%	2024	9.78	Consumer sectors (B2C)	North America	FND	86400.0	15.12	6.03	6.75	2.33	2025.0	1.0	1.0	['Employee Incidents']	False	1	0	1	0	0	0	0	0
Flutter Entertainment Plc	22.4	United States of America	Consumer Services	23,009	-7.19%	2024	-7.19	Consumer sectors (B2C)	North America	FLUT	86400.0	22.4	3.01	14.31	5.09	2025.0	1.0	2.0	['Society & Community Incidents;Employee Incidents;Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	1	0	0
Fnac Darty SA	12.3	France	Retailing	25,000	1.46%	2024	1.46	Consumer sectors (B2C)	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
